game_id,team_id,team_name,athlete_id,full_name,display_name,position_name,position_abbr
401127913,9,Green Bay Packers,4034949,Eddy Pineiro,Eddy Pineiro,Place kicker,PK
401127913,9,Green Bay Packers,3042519,Aaron Jones Sr.,Aaron Jones Sr.,Running Back,RB
401127913,9,Green Bay Packers,3915189,Roquan Smith,Roquan Smith,Linebacker,LB
401127913,9,Green Bay Packers,8439,Aaron Rodgers,Aaron Rodgers,Quarterback,QB
401127913,9,Green Bay Packers,2574891,Roy Robertson-Harris,Roy Robertson-Harris,Defensive Tackle,DT
401127913,9,Green Bay Packers,16549,Lane Taylor,Lane Taylor,Guard,G
401127913,3,Chicago Bears,3126368,JK Scott,JK Scott,Punter,P
401127913,3,Chicago Bears,3066158,Tarik Cohen,Tarik Cohen,Running Back,RB
401127913,3,Chicago Bears,2582132,Adrian Amos,Adrian Amos,Safety,S
401127913,3,Chicago Bears,3025433,Mike Davis,Mike Davis,Running Back,RB
401127913,3,Chicago Bears,3122752,Kenny Clark,Kenny Clark,Defensive Tackle,DT
401127913,3,Chicago Bears,2974348,Dean Lowry,Dean Lowry,Defensive Tackle,DT
401127913,3,Chicago Bears,3039707,Mitchell Trubisky,Mitchell Trubisky,Quarterback,QB
