category,stat,threshold,model,log_loss,accuracy,roc_auc,ece,pce
receiving,REC,2,XGBoost,0.584279504,0.701093018,0.777543193,0.085831925,0.2423
receiving,YDS,20,XGBoost,0.599472694,0.693062681,0.745516074,0.062321034,0.2839
receiving,TD,0,XGBoost,0.415019065,0.842962302,0.657788681,0.020897267,0.0483
rushing,CAR,4,XGBoost,0.400544264,0.801040312,0.894961422,0.042633245,0.2014
rushing,YDS,16,XGBoost,0.518915916,0.742089293,0.820441592,0.038774802,0.2699
rushing,TD,0,XGBoost,0.433667195,0.81751192,0.701561193,0.031977898,0.0536
passing,YDS,213,XGBoost,0.626351636,0.656521739,0.710485504,0.080047203,0.2953
passing,TD,1,XGBoost,0.613412114,0.656521739,0.64811149,0.088638814,0.1749
passing,INT,0,XGBoost,0.686019422,0.531884058,0.545623979,0.092458917,0.3021
