prop,category,stat,threshold,test_auc,test_accuracy,test_logloss,test_ece,train_samples,test_samples
receiving_YDS_over_50,receiving,YDS,50.0,0.8058839083056857,0.8099486950702655,0.4128660227799948,0.037274753012987966,17929,4483
receiving_YDS_over_65,receiving,YDS,65.0,0.8252727645733365,0.8659379879544947,0.3148157762014396,0.027750020341487727,17929,4483
receiving_YDS_over_75,receiving,YDS,75.0,0.8412906191081497,0.8953825563238903,0.2642871985568399,0.029257482100139363,17929,4483
receiving_REC_over_5,receiving,REC,5.0,0.8241787879388505,0.8860138300245372,0.28995789377753545,0.01774404947975239,17929,4483
rushing_YDS_over_50,rushing,YDS,50.0,0.8550401386608283,0.8123103597745991,0.3701104265871766,0.04192554622591447,9227,2307
rushing_YDS_over_75,rushing,YDS,75.0,0.8494017173045967,0.9007368877329865,0.2530527273613906,0.027272641353590123,9227,2307
passing_YDS_over_250,passing,YDS,250.0,0.6910505095081441,0.691304347826087,0.5746378192871178,0.07627033001162867,2760,690
passing_TD_over_1.5,passing,TD,1.5,0.6573028678291836,0.6507246376811594,0.6112297842591,0.09123238802388094,2760,690
